tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 03:31:00,2020-11-01 09:51:21.051,2020-11-01 09:54:14.217,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3681,Grand St,40.71517767732029,-74.03768330812454,44767,Customer,1969,Unknown
0 days 04:52:00,2020-11-01 09:52:29.962,2020-11-01 09:58:20.910,3280,Astor Place,40.71928220070702,-74.07126188278198,3193,Lincoln Park,40.7246050998869,-74.07840594649315,46465,Subscriber,1960,Male
0 days 03:42:00,2020-11-01 09:53:40.354,2020-11-01 10:29:18.190,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44392,Subscriber,1982,Female
0 days 01:36:00,2020-11-01 09:53:57.245,2020-11-01 10:14:56.219,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3203,Hamilton Park,40.727595966,-74.044247311,43066,Subscriber,1979,Male
1 days 20:18:00,2020-11-01 09:57:24.727,2020-11-01 10:04:06.926,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,44556,Subscriber,1984,Male
0 days 03:15:00,2020-11-01 09:58:32.648,2020-11-01 10:17:01.165,3195,Sip Ave,40.73089709786179,-74.06391263008118,3199,Newport Pkwy,40.7287448,-74.0321082,42526,Customer,1969,Unknown
1 days 12:06:00,2020-11-01 09:58:51.477,2020-11-01 10:15:45.908,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,44336,Subscriber,1984,Male
0 days 05:59:00,2020-11-01 09:59:02.811,2020-11-01 10:15:40.713,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42396,Subscriber,1988,Female
0 days 06:08:00,2020-11-01 10:01:20.976,2020-11-01 10:11:17.776,3187,Warren St,40.7211236,-74.03805095,3209,Brunswick St,40.7241765,-74.0506564,44239,Customer,1969,Unknown
0 days 11:18:00,2020-11-01 10:02:22.879,2020-11-01 10:28:44.459,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3273,Manila & 1st,40.72165072487999,-74.04288411140442,44973,Customer,1990,Male
0 days 07:09:00,2020-11-01 10:03:01.831,2020-11-01 10:13:12.712,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,42277,Subscriber,1973,Male
