tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0 days 00:08:57,2020-12-01 08:06:03.728,2020-12-01 08:15:01.265,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3195,Sip Ave,40.73089709786179,-74.06391263008118,40124,Subscriber,1991,Female
0 days 00:06:50,2020-12-01 08:06:11.560,2020-12-01 08:13:01.856,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3184,Paulus Hook,40.7141454,-74.0335519,42250,Subscriber,1984,Female
0 days 00:07:09,2020-12-01 08:07:21.848,2020-12-01 08:14:30.863,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,44603,Subscriber,1991,Male
0 days 00:03:56,2020-12-01 08:08:02.201,2020-12-01 08:11:58.627,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,43798,Subscriber,1977,Male
0 days 00:06:27,2020-12-01 08:08:15.326,2020-12-01 08:14:42.511,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.727595966,-74.044247311,38978,Subscriber,1996,Female
0 days 00:05:05,2020-12-01 08:09:07.352,2020-12-01 08:14:12.528,3280,Astor Place,40.71928220070702,-74.07126188278198,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,42255,Subscriber,1993,Female
0 days 00:07:29,2020-12-01 08:09:28.469,2020-12-01 08:16:58.267,3195,Sip Ave,40.73089709786179,-74.06391263008118,3206,Hilltop,40.7311689,-74.0575736,44400,Subscriber,1968,Male
0 days 04:50:54,2020-12-01 08:10:54.519,2020-12-01 13:01:49.175,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,18851,Subscriber,1975,Female
0 days 00:02:50,2020-12-01 08:14:15.589,2020-12-01 08:17:06.526,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45274,Subscriber,1982,Male
0 days 00:05:37,2020-12-01 08:14:30.371,2020-12-01 08:20:08.133,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.7124188237569,-74.03852552175522,44555,Subscriber,1978,Female
0 days 00:05:37,2020-12-01 08:15:13.653,2020-12-01 08:20:50.697,3187,Warren St,40.7211236,-74.03805095,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,47054,Subscriber,1991,Male
0 days 00:15:49,2020-12-01 08:19:06.943,2020-12-01 08:34:56.757,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,26443,Subscriber,1982,Male
0 days 00:10:35,2020-12-01 08:20:19.642,2020-12-01 08:30:54.924,3187,Warren St,40.7211236,-74.03805095,3194,McGinley Square,40.7253399253558,-74.06762212514877,26719,Subscriber,1984,Male
0 days 00:02:51,2020-12-01 08:27:10.453,2020-12-01 08:30:01.466,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3185,City Hall,40.7177325,-74.043845,42305,Subscriber,1983,Male
0 days 00:01:34,2020-12-01 08:30:58.953,2020-12-01 08:32:33.884,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42596,Subscriber,1974,Female
0 days 00:07:06,2020-12-01 08:33:17.138,2020-12-01 08:40:24.014,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,45363,Customer,1969,Unknown
0 days 00:10:40,2020-12-01 08:39:51.125,2020-12-01 08:50:31.902,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.7124188237569,-74.03852552175522,42308,Subscriber,1991,Female
0 days 00:04:39,2020-12-01 08:41:17.728,2020-12-01 08:45:56.774,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346382669195,-74.06285852193832,48930,Subscriber,1991,Male
0 days 00:03:02,2020-12-01 08:42:31.451,2020-12-01 08:45:33.644,3211,Newark Ave,40.72152515,-74.046304543,3205,JC Medical Center,40.71653978099194,-74.0496379137039,48910,Subscriber,1967,Female
0 days 00:05:16,2020-12-01 08:42:43.653,2020-12-01 08:48:00.361,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42417,Subscriber,1995,Male
0 days 00:09:59,2020-12-01 08:44:05.787,2020-12-01 08:54:04.840,3192,Liberty Light Rail,40.7112423,-74.0557013,3639,Harborside,40.7192517,-74.034234,43568,Subscriber,1972,Male
0 days 00:02:40,2020-12-01 08:44:07.801,2020-12-01 08:46:48.353,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,45355,Subscriber,1989,Male
0 days 00:07:45,2020-12-01 08:44:58.161,2020-12-01 08:52:44.095,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3186,Grove St PATH,40.71958611647166,-74.04311746358871,45198,Customer,1998,Male
0 days 00:06:56,2020-12-01 08:48:19.638,2020-12-01 08:55:15.738,3206,Hilltop,40.7311689,-74.0575736,3202,Newport PATH,40.7272235,-74.0337589,42411,Subscriber,1990,Male
0 days 00:06:33,2020-12-01 08:48:59.549,2020-12-01 08:55:33.422,3210,Pershing Field,40.742677141,-74.051788633,3640,Journal Square,40.73367,-74.0625,42380,Subscriber,1990,Male
0 days 00:19:33,2020-12-01 08:51:07.129,2020-12-01 09:10:40.855,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3481,York St,40.71649,-74.04105,45350,Subscriber,1991,Male
0 days 00:10:24,2020-12-01 08:52:45.002,2020-12-01 09:03:09.419,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3184,Paulus Hook,40.7141454,-74.0335519,43244,Subscriber,1983,Male
0 days 00:02:32,2020-12-01 08:54:07.642,2020-12-01 08:56:40.429,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42614,Subscriber,1989,Male
0 days 00:07:05,2020-12-01 08:56:31.605,2020-12-01 09:03:36.707,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3202,Newport PATH,40.7272235,-74.0337589,48924,Subscriber,1979,Male
0 days 00:10:50,2020-12-01 08:57:55.991,2020-12-01 09:08:46.347,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,44762,Subscriber,1962,Female
0 days 00:13:58,2020-12-01 08:58:05.034,2020-12-01 09:12:03.438,3202,Newport PATH,40.7272235,-74.0337589,3185,City Hall,40.7177325,-74.043845,45363,Customer,1969,Unknown
0 days 00:09:16,2020-12-01 08:58:08.743,2020-12-01 09:07:25.517,3199,Newport Pkwy,40.7287448,-74.0321082,3209,Brunswick St,40.7241765,-74.0506564,27945,Subscriber,1987,Female
0 days 00:10:08,2020-12-01 08:59:14.044,2020-12-01 09:09:22.877,3195,Sip Ave,40.73089709786179,-74.06391263008118,3193,Lincoln Park,40.7246050998869,-74.07840594649315,42492,Subscriber,1962,Male
0 days 01:05:00,2020-12-01 09:03:48.440,2020-12-01 10:08:49.293,3203,Hamilton Park,40.727595966,-74.044247311,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,40517,Subscriber,1988,Male
0 days 00:02:54,2020-12-01 09:06:19.087,2020-12-01 09:09:13.637,3203,Hamilton Park,40.727595966,-74.044247311,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,45355,Subscriber,1984,Male
0 days 00:03:20,2020-12-01 09:07:24.026,2020-12-01 09:10:44.699,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3184,Paulus Hook,40.7141454,-74.0335519,39920,Subscriber,1981,Male
0 days 00:06:01,2020-12-01 09:08:24.329,2020-12-01 09:14:25.416,3211,Newark Ave,40.72152515,-74.046304543,3681,Grand St,40.71517767732029,-74.03768330812454,44671,Subscriber,1975,Male
0 days 00:10:32,2020-12-01 09:09:10.420,2020-12-01 09:19:43.285,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3184,Paulus Hook,40.7141454,-74.0335519,43098,Subscriber,1963,Male
0 days 00:06:00,2020-12-01 09:10:11.822,2020-12-01 09:16:12.211,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,42255,Subscriber,1988,Male
0 days 00:44:15,2020-12-01 09:10:20.902,2020-12-01 09:54:36.898,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3206,Hilltop,40.7311689,-74.0575736,45355,Subscriber,1984,Male
0 days 00:05:05,2020-12-01 09:11:16.929,2020-12-01 09:16:21.934,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42535,Customer,1969,Unknown
0 days 00:12:53,2020-12-01 09:12:33.843,2020-12-01 09:25:26.990,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,30360,Subscriber,1982,Female
0 days 00:02:24,2020-12-01 09:13:25.831,2020-12-01 09:15:50.673,3211,Newark Ave,40.72152515,-74.046304543,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,42371,Subscriber,1989,Male
0 days 00:15:42,2020-12-01 09:13:34.308,2020-12-01 09:29:16.529,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3199,Newport Pkwy,40.7287448,-74.0321082,47252,Customer,1969,Unknown
0 days 00:05:15,2020-12-01 09:13:57.611,2020-12-01 09:19:13.326,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3279,Dixon Mills,40.721630142638354,-74.04996782541275,42014,Subscriber,1987,Male
